source_id,title,publisher,pub_date,url,retrieved_at,claim_ids
datagrid-fasttrack-application-2024-05,Fast-track approval application: Datagrid Sustainable Data Centre Park,Ministry for the Environment (Fast-track approval applications),2024-05-02,https://environment.govt.nz/assets/what-government-is-doing/Fast-Track-Unlisted/Datagrid-Sustainable-Data-Centre-Park/104.01-response-ANON-URZ4-5FRF-8_Redacted.pdf,2026-08-25,claim-makarewa-power-draw;claim-makarewa-site-footprint;claim-nz-renewable-share;claim-makarewa-subsea-cable
rnz-second-largest-drain-2026-03,A new Southland datacentre would be the country's second-largest drain on power,RNZ,2026-03-17,https://www.rnz.co.nz/news/business/589770/a-new-southland-datacentre-would-be-the-country-s-second-largest-drain-on-power,2026-08-25,claim-makarewa-second-largest-user;claim-makarewa-jobs-construction;claim-makarewa-jobs-permanent;claim-makarewa-site-footprint;claim-makarewa-diesel-generators;claim-makarewa-consultation-adequate
1news-community-questions-2026-07,Southland community has questions about $3.5b AI data centre,1News,2026-07-23,https://www.1news.co.nz/2026/07/24/southand-community-has-questions-about-35b-ai-data-centre/,2026-08-25,claim-makarewa-jobs-construction;claim-makarewa-jobs-permanent;claim-makarewa-capex;claim-makarewa-mercury-stake;claim-makarewa-consultation-adequate;claim-makarewa-open-date
